Generation,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Honest,Corrupt
0,0,0,1,0,0,1
2500,0.26,0.2,0.24,0.3,0.6,0.4
5000,0.18,0.28,0.32,0.22,0.5,0.5
7500,0.26,0.24,0.28,0.22,0.3,0.7
10000,0.28,0.24,0.18,0.3,0.3,0.7
12500,0.14,0.24,0.34,0.28,0.1,0.9
15000,0.22,0.24,0.18,0.36,0.6,0.4
17500,0.28,0.34,0.18,0.2,0.6,0.4
20000,0.26,0.32,0.18,0.24,0.5,0.5
22500,0.3,0.24,0.24,0.22,0.7,0.3
25000,0.34,0.22,0.22,0.22,0.4,0.6
27500,0.24,0.24,0.38,0.14,0.7,0.3
30000,0.32,0.22,0.22,0.24,0.3,0.7
32500,0.36,0.24,0.22,0.18,0.9,0.1
35000,0.26,0.22,0.28,0.24,0.6,0.4
37500,0.26,0.24,0.24,0.26,0.5,0.5
40000,0.24,0.32,0.26,0.18,0.6,0.4
42500,0.14,0.26,0.32,0.28,0.5,0.5
45000,0.28,0.24,0.2,0.28,0.2,0.8
47500,0.3,0.2,0.22,0.28,0.3,0.7
50000,0.28,0.28,0.22,0.22,0.7,0.3
52500,0.28,0.28,0.22,0.22,0.5,0.5
55000,0.22,0.28,0.28,0.22,0.6,0.4
57500,0.3,0.16,0.32,0.22,0.5,0.5
60000,0.26,0.26,0.18,0.3,0.1,0.9
62500,0.26,0.3,0.22,0.22,0.5,0.5
65000,0.34,0.22,0.22,0.22,0.4,0.6
67500,0.18,0.3,0.26,0.26,0.5,0.5
70000,0.22,0.22,0.26,0.3,0.6,0.4
72500,0.24,0.18,0.3,0.28,0.6,0.4
75000,0.26,0.24,0.3,0.2,0.6,0.4
77500,0.32,0.16,0.3,0.22,0.5,0.5
80000,0.28,0.24,0.24,0.24,0.4,0.6
82500,0.16,0.3,0.2,0.34,0.7,0.3
85000,0.32,0.24,0.24,0.2,0.5,0.5
87500,0.14,0.24,0.24,0.38,0.5,0.5
90000,0.22,0.28,0.28,0.22,0.4,0.6
