Generation,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Honest,Corrupt
186000,0.98,0.02,0,0,0,1
187000,0.96,0.02,0,0.02,0,1
188000,1,0,0,0,0,1
189000,1,0,0,0,0,1
190000,1,0,0,0,0,1
191000,1,0,0,0,0,1
192000,1,0,0,0,0,1
193000,1,0,0,0,0,1
194000,0.94,0.02,0.04,0,0,1
195000,1,0,0,0,0,1
196000,1,0,0,0,0,1
197000,0.98,0,0.02,0,0,1
198000,1,0,0,0,0,1
199000,1,0,0,0,0,1
200000,0.98,0,0,0.02,0,1
201000,0.98,0,0,0.02,0,1
202000,1,0,0,0,0,1
203000,0.96,0.02,0.02,0,0,1
204000,0.98,0.02,0,0,0,1
205000,1,0,0,0,0.1,0.9
206000,1,0,0,0,0,1
207000,0.98,0,0,0.02,0,1
208000,0.96,0.02,0,0.02,0,1
209000,1,0,0,0,0,1
210000,1,0,0,0,0,1
211000,1,0,0,0,0,1
212000,0.98,0.02,0,0,0.1,0.9
213000,1,0,0,0,0,1
214000,0.98,0.02,0,0,0,1
215000,0.98,0,0,0.02,0,1
216000,1,0,0,0,0,1
217000,0.98,0,0,0.02,0,1
218000,1,0,0,0,0.1,0.9
219000,0.98,0.02,0,0,0,1
220000,1,0,0,0,0,1
221000,1,0,0,0,0,1
222000,1,0,0,0,0,1
223000,1,0,0,0,0,1
224000,0.96,0.02,0.02,0,0.1,0.9
225000,1,0,0,0,0,1
226000,1,0,0,0,0,1
227000,1,0,0,0,0,1
228000,1,0,0,0,0,1
229000,0.96,0.02,0.02,0,0,1
230000,1,0,0,0,0,1
231000,0.98,0,0.02,0,0,1
232000,1,0,0,0,0,1
233000,0.94,0.04,0.02,0,0,1
234000,0.96,0.02,0.02,0,0,1
235000,1,0,0,0,0,1
236000,1,0,0,0,0,1
237000,1,0,0,0,0,1
238000,0.96,0.02,0.02,0,0,1
239000,0.98,0,0,0.02,0,1
240000,1,0,0,0,0,1
241000,1,0,0,0,0.2,0.8
242000,1,0,0,0,0,1
243000,1,0,0,0,0,1
244000,1,0,0,0,0,1
245000,0.96,0.02,0,0.02,0,1
246000,0.96,0.02,0,0.02,0,1
247000,1,0,0,0,0,1
248000,0.98,0.02,0,0,0,1
249000,1,0,0,0,0,1
250000,0.96,0,0.02,0.02,0,1
251000,1,0,0,0,0,1
252000,1,0,0,0,0,1
253000,1,0,0,0,0,1
254000,0.94,0.06,0,0,0,1
255000,1,0,0,0,0,1
256000,1,0,0,0,0,1
257000,1,0,0,0,0,1
258000,0.98,0.02,0,0,0,1
259000,1,0,0,0,0,1
260000,0.98,0,0,0.02,0.1,0.9
261000,0.98,0,0.02,0,0,1
262000,1,0,0,0,0,1
263000,0.98,0,0,0.02,0,1
264000,1,0,0,0,0,1
265000,1,0,0,0,0,1
266000,1,0,0,0,0,1
267000,1,0,0,0,0,1
268000,0.98,0,0,0.02,0,1
269000,0.98,0.02,0,0,0,1
270000,1,0,0,0,0,1
271000,1,0,0,0,0,1
272000,0.94,0.02,0.02,0.02,0,1
273000,1,0,0,0,0,1
274000,1,0,0,0,0.1,0.9
275000,1,0,0,0,0,1
276000,1,0,0,0,0,1
277000,1,0,0,0,0.1,0.9
278000,0.98,0,0,0.02,0.1,0.9
279000,1,0,0,0,0,1
280000,1,0,0,0,0,1
281000,0.98,0,0,0.02,0,1
282000,1,0,0,0,0.1,0.9
283000,1,0,0,0,0,1
284000,1,0,0,0,0,1
285000,1,0,0,0,0,1
